Path,Bam,Label,Locality,Individual,Collection Locality,Geographic Region
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_004_R1.sort.proper.rmdup.bam,RD_GSJS_004,RD_GSJS_004,GSJS_NS05,47,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_005_R1.sort.proper.rmdup.bam,RD_GSJS_005,RD_GSJS_005,GSJS_NS05,48,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_006_R1.sort.proper.rmdup.bam,RD_GSJS_006,RD_GSJS_006,GSJS_NS05,49,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_007_R1.sort.proper.rmdup.bam,RD_GSJS_007,RD_GSJS_007,GSJS_NS05,50,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_008_R1.sort.proper.rmdup.bam,RD_GSJS_008,RD_GSJS_008,GSJS_NS05,51,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_009_R1.sort.proper.rmdup.bam,RD_GSJS_009,RD_GSJS_009,GSJS_NS05,52,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_010_R1.sort.proper.rmdup.bam,RD_GSJS_010,RD_GSJS_010,GSJS_NS05,53,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_011_R1.sort.proper.rmdup.bam,RD_GSJS_011,RD_GSJS_011,GSJS_NS03,54,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_012_R1.sort.proper.rmdup.bam,RD_GSJS_012,RD_GSJS_012,GSJS_NS03,55,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_013_R1.sort.proper.rmdup.bam,RD_GSJS_013,RD_GSJS_013,GSJS_NS03,56,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_014_R1.sort.proper.rmdup.bam,RD_GSJS_014,RD_GSJS_014,GSJS_NS03,57,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_015_R1.sort.proper.rmdup.bam,RD_GSJS_015,RD_GSJS_015,GSJS_NS03,58,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_016_R1.sort.proper.rmdup.bam,RD_GSJS_016,RD_GSJS_016,GSJS_NS03,59,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_017_R1.sort.proper.rmdup.bam,RD_GSJS_017,RD_GSJS_017,GSJS_NS03,60,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_018_R1.sort.proper.rmdup.bam,RD_GSJS_018,RD_GSJS_018,GSJS_NS03,61,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_019_R1.sort.proper.rmdup.bam,RD_GSJS_019,RD_GSJS_019,GSJS_NS03,62,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_020_R1.sort.proper.rmdup.bam,RD_GSJS_020,RD_GSJS_020,GSJS_NS03,63,GSJS,Eastern Valleys
/home/abenj93/projects/RelictDace/data/de_novo/RD_alignment/RAD_align/RD_GSJS_021_R1.sort.proper.rmdup.bam,RD_GSJS_021,RD_GSJS_021,GSJS_CS03,64,GSJS,Eastern Valleys
